task_type,cpu_usage,mem_usage,io_usage,duration,priority,resource_allocated
OneDrive.exe,0,0,12,15090,low,medium
svchost.exe,0,0,0,15090,unknown,medium
msedge.exe,0,0,65,15090,low,medium
Microsoft.SharePoint.exe,0,0,3,14808,low,medium
svchost.exe,0,0,0,15089,unknown,medium
msedge.exe,0,0,0,15089,low,medium
browser.exe,0,0,26,15051,low,medium
SnippingTool.exe,0,0,0,36,low,medium
conhost.exe,0,0,0,212,low,medium
Code.exe,0,1,42,218,low,medium
msedgewebview2.exe,0,0,11,15008,low,medium
msedge.exe,0,0,5,15089,low,medium
msedgewebview2.exe,0,0,37,15008,low,medium
browser.exe,0,0,22,14577,low,medium
msedge.exe,0,0,0,15089,low,medium
browser.exe,15,2,100,15053,low,medium
ShellExperienceHost.exe,0,0,0,15088,low,medium
CompPkgSrv.exe,0,0,0,15040,low,medium
RuntimeBroker.exe,0,0,0,15088,low,medium
browser.exe,0,0,100,15053,low,medium
svchost.exe,0,0,0,14509,unknown,medium
powershell.exe,0,0,0,213,low,medium
dllhost.exe,0,0,12,14528,low,medium
Code.exe,0,3,100,212,low,medium
browser.exe,0,1,48,8210,low,medium
UserOOBEBroker.exe,0,0,0,4405,low,medium
Code.exe,0,0,40,240,low,medium
RuntimeBroker.exe,0,0,0,11919,low,medium
browser.exe,0,0,7,4893,low,medium
msedgewebview2.exe,0,0,18,11299,low,medium
msedgewebview2.exe,0,0,0,11300,low,medium
svchost.exe,0,0,2,511,unknown,medium
powershell.exe,0,0,0,211,low,medium
Code.exe,0,0,0,243,low,medium
Code.exe,0,0,1,221,low,medium
msedgewebview2.exe,0,0,0,11285,low,medium
browser.exe,0,1,23,322,low,medium
dllhost.exe,0,0,0,2498,low,medium
browser.exe,0,0,0,789,low,medium
python.exe,0,0,0,24,low,medium
Code.exe,0,0,0,243,low,medium
svchost.exe,0,0,0,4647,unknown,medium
Code.exe,0,0,0,218,low,medium
