task_type,cpu_usage,mem_usage,io_usage,duration,priority,resource_allocated
steamwebhelper.exe,0,0,12,8117,low,medium
svchost.exe,0,0,0,5488,low,medium
dasHost.exe,0,0,0,5270,low,medium
steamservice.exe,0,0,0,8118,low,medium
steamwebhelper.exe,0,0,0,8118,low,medium
msedgewebview2.exe,0,0,100,8117,low,medium
Zalo.exe,0,0,52,8123,low,medium
Zalo.exe,0,0,66,8123,low,medium
ZaloCap.exe,0,0,0,8123,low,medium
Zalo.exe,0,0,11,8123,low,medium
Zalo.exe,0,0,100,8123,low,medium
explorer.exe,0,0,19,5859,low,medium
yasb.exe,0,0,5,8110,low,medium
steamwebhelper.exe,0,0,100,8119,low,medium
Code.exe,0,0,100,339,low,medium
ms-teams.exe,0,0,20,8119,low,medium
svchost.exe,0,0,0,8022,low,medium
CHXSmartScreen.exe,0,0,0,5716,low,medium
Everything.exe,0,0,84,8111,low,medium
zen.exe,0,0,28,1682,low,medium
ZaloCall.exe,0,0,0,8122,low,medium
UniKeyNT.exe,0,0,0,8120,low,medium
RuntimeBroker.exe,0,0,0,8119,low,medium
msedgewebview2.exe,0,0,0,8119,low,medium
pwsh.exe,0,0,1,337,low,medium
steamwebhelper.exe,0,0,1,8119,low,medium
msedgewebview2.exe,0,0,6,8119,low,medium
msedgewebview2.exe,0,0,5,8119,low,medium
msedgewebview2.exe,0,0,14,8120,low,medium
msedgewebview2.exe,0,0,42,8120,low,medium
zen.exe,0,0,5,1684,low,medium
steamwebhelper.exe,0,0,0,8119,low,medium
steamwebhelper.exe,0,0,75,8119,low,medium
ms-teams.exe,0,0,7,8119,low,medium
msedgewebview2.exe,0,0,0,8118,low,medium
steamwebhelper.exe,0,0,0,8115,low,medium
Code.exe,0,0,3,341,low,medium
zen.exe,0,0,0,1685,low,medium
zen.exe,0,0,8,1684,low,medium
conhost.exe,0,0,0,335,low,medium
svchost.exe,0,0,0,8025,low,medium
zen.exe,0,0,0,1686,low,medium
Code.exe,0,1,100,341,low,medium
backgroundTaskHost.exe,0,0,0,8046,low,medium
svchost.exe,0,0,0,7678,low,medium
zen.exe,0,0,0,1686,low,medium
Code.exe,0,0,0,339,low,medium
svchost.exe,0,0,0,7679,low,medium
zen.exe,0,0,100,1682,low,medium
zen.exe,0,0,0,1680,low,medium
Code.exe,0,0,1,270,low,medium
dllhost.exe,0,0,0,3448,low,medium
zen.exe,0,0,0,755,low,medium
Code.exe,0,0,0,342,low,medium
ApplicationFrameHost.exe,0,0,0,3472,low,medium
Spotify.exe,0,0,100,1820,low,medium
svchost.exe,0,0,0,5450,low,medium
zen.exe,0,0,0,1683,low,medium
System Idle Process,610,0,0,0,unknown,medium
System,198,0,100,0,unknown,medium
unknown,0,0,0,185543,unknown,medium
VoiceControlEngine.exe,0,0,0,140618,low,medium
Registry,0,0,100,185543,unknown,medium
smss.exe,0,0,0,185536,unknown,medium
csrss.exe,0,0,6,185525,unknown,medium
wininit.exe,0,0,0,185523,unknown,medium
fontdrvhost.exe,0,0,0,167967,unknown,medium
services.exe,0,0,86,185523,unknown,medium
LsaIso.exe,0,0,0,185523,unknown,medium
lsass.exe,0,0,20,185523,unknown,medium
NVIDIA Share.exe,0,0,90,140607,low,medium
NahimicSvc64.exe,0,0,0,140622,low,medium
python.exe,0,0,1,2,low,medium
svchost.exe,0,0,0,140534,unknown,medium
svchost.exe,0,0,29,185524,unknown,medium
backgroundTaskHost.exe,0,0,0,40464,low,medium
fontdrvhost.exe,0,0,0,185524,unknown,medium
MsMpEng.exe,0,1,100,126133,unknown,medium
unsecapp.exe,0,0,0,185456,unknown,medium
svchost.exe,0,0,0,185426,unknown,medium
svchost.exe,0,0,1,185525,unknown,medium
svchost.exe,0,0,0,185525,unknown,medium
gamingservices.exe,0,0,42,185338,unknown,medium
svchost.exe,0,0,0,185525,unknown,medium
svchost.exe,0,0,0,140432,low,medium
msedge.exe,0,0,0,1610,low,medium
svchost.exe,0,0,0,185525,unknown,medium
SearchIndexer.exe,0,0,100,140013,unknown,medium
svchost.exe,0,0,1,185525,unknown,medium
svchost.exe,0,0,0,185525,unknown,medium
svchost.exe,0,0,0,185525,unknown,medium
svchost.exe,0,0,0,185522,unknown,medium
msedgewebview2.exe,0,0,100,44656,low,medium
